# data file for pack-rig.mod
# Original AMPL coding by Sven Leyffer, University of Dundee

param n := 32;

# ... discretization (element/node table, conforming triangles)
set elements :=
   (      1,      2,     34 )
   (     35,     34,      2 )
   (      2,      3,     35 )
   (     36,     35,      3 )
   (      3,      4,     36 )
   (     37,     36,      4 )
   (      4,      5,     37 )
   (     38,     37,      5 )
   (      5,      6,     38 )
   (     39,     38,      6 )
   (      6,      7,     39 )
   (     40,     39,      7 )
   (      7,      8,     40 )
   (     41,     40,      8 )
   (      8,      9,     41 )
   (     42,     41,      9 )
   (      9,     10,     42 )
   (     43,     42,     10 )
   (     10,     11,     43 )
   (     44,     43,     11 )
   (     11,     12,     44 )
   (     45,     44,     12 )
   (     12,     13,     45 )
   (     46,     45,     13 )
   (     13,     14,     46 )
   (     47,     46,     14 )
   (     14,     15,     47 )
   (     48,     47,     15 )
   (     15,     16,     48 )
   (     49,     48,     16 )
   (     16,     17,     49 )
   (     50,     49,     17 )
   (     17,     18,     50 )
   (     51,     50,     18 )
   (     18,     19,     51 )
   (     52,     51,     19 )
   (     19,     20,     52 )
   (     53,     52,     20 )
   (     20,     21,     53 )
   (     54,     53,     21 )
   (     21,     22,     54 )
   (     55,     54,     22 )
   (     22,     23,     55 )
   (     56,     55,     23 )
   (     23,     24,     56 )
   (     57,     56,     24 )
   (     24,     25,     57 )
   (     58,     57,     25 )
   (     25,     26,     58 )
   (     59,     58,     26 )
   (     26,     27,     59 )
   (     60,     59,     27 )
   (     27,     28,     60 )
   (     61,     60,     28 )
   (     28,     29,     61 )
   (     62,     61,     29 )
   (     29,     30,     62 )
   (     63,     62,     30 )
   (     30,     31,     63 )
   (     64,     63,     31 )
   (     31,     32,     64 )
   (     65,     64,     32 )
   (     32,     33,     65 )
   (     66,     65,     33 )
   (     34,     35,     67 )
   (     68,     67,     35 )
   (     35,     36,     68 )
   (     69,     68,     36 )
   (     36,     37,     69 )
   (     70,     69,     37 )
   (     37,     38,     70 )
   (     71,     70,     38 )
