# design-cent-3.dat  
# ... initialize variables x 
param   :       x0 := 
     1                    0
     2                    0
     3                    1
     4                    0
     5                    0
     6                    1 ;

 # ... initialize variables y  
param y0:       1       2       3 :=
     1   -1.000000000000073   0.2425356250359245                    0
     2                    0   0.9701425001468117   -1.000000000026019 ;

 # ... initialize variables l  
param   :   l0 := 
     1   0.5000000393303194
     2   0.5153882031999911
     3   0.4999999999777709 ;

