# data file for portfl-i.mod

param sol :=
 1  0.17
 2  0
 3  0
 4  0
 5  0.33
 6  0.09
 7  0
 8  0
 9  0
10  0.17
11  0.09
12  0.15
;

param F:=
 1	1                0.02802144
 1	2                -0.000237
 1	3                0.01635846
 1	4                0.01119664
 1	5                -0.0063052
 1	6                0.00162501
 1	7                0.01506489
 1	8                0.01248192
 1	9                0.00819364
 1	10               0.00469729
 1	11               0.0141744
 1	12               0.02114737
 1	13               0.00566105
 1	14               -0.0045603
 1	15               0.01052255
 1	16               0.00701282
 1	17               0.00499437
 1	18               0.0
 1	19               0.00524953
 1	20               0.02764239
 1	21               0.0328613
 1	22               0.01121753
 1	23               0.01998054
 1	24               0.01507346
 1	25               0.00545113
 1	26               0.01265034
 1	27               0.00086154
 1	28               0.01629365
 1	29               0.02674088
 1	30               -0.0028283
 1	31               0.00608639
 1	32               -0.0120404
 1	33               0.0242554
 1	34               0.02048871
 1	35               0.02713002
 1	36               0.00382081
 1	37               -0.0174316
 1	38               -0.0057826
 1	39               -0.0075103
 1	40               -0.0137687
 1	41               0.00490366
 1	42               0.00430564
 1	43               -0.015834
 1	44               -0.0020909
 1	45               0.01344508
 1	46               0.01659775
 1	47               -0.0014688
 1	48               0.0115983
 1	49               0.01107383
 1	50               0.01687134
 1	51               0.01485068
 1	52               0.03430532
 1	53               -0.0043532
 1	54               0.0195711
 1	55               0.01179293
 1	56               0.00847671
 1	57               0.0146095
 1	58               0.01750579
 1	59               0.00833576
 1	60               0.02196482
 1	61               -0.0148144
 1	62               0.00907008

 2	1                0.06839808
 2	2                0.11464542
 2	3                0.02391108
 2	4                0.01730916
 2	5                0.03985465
 2	6                -0.0284541
 2	7                0.03014387
 2	8                -0.0043781
 2	9                0.04352908
 2	10               -0.0313116
 2	11               -0.0604625
 2	12               0.03727582
 2	13               0.01361736
 2	14               -0.0138246
 2	15               0.00565259
 2	16               -0.004328
 2	17               -0.0246133
 2	18               0.02714435
 2	19               -0.0513326
 2	20               -0.0578522
 2	21               0.11776573
 2	22               -0.0294416
 2	23               0.04846583
 2	24               0.0021062
 2	25               0.07112832
 2	26               -0.0261799
 2	27               -0.0217402
 2	28               0.01046127
 2	29               0.08218002
 2	30               0.06404283
 2	31               -0.0309792
 2	32               -0.03096
 2	33               0.06890906
 2	34               -0.0099322
 2	35               0.02470467
 2	36               0.01070497
 2	37               -0.0648169
 2	38               -0.0867818
 2	39               -0.0118189
 2	40               -0.0292303
 2	41               -0.0474585
 2	42               0.01299229
 2	43               0.02902949
 2	44               0.00934787
 2	45               -0.0394707
 2	46               0.02680211
 2	47               -0.0302386
 2	48               -0.0227665
 2	49               0.02188145
 2	50               -0.0726653
 2	51               0.06472895
 2	52               0.04080201
 2	53               -0.0176916
 2	54               -0.0174385
 2	55               0.11707885
 2	56               -0.0196384
 2	57               0.00977683
 2	58               0.04120185
 2	59               -0.0051549
 2	60               0.04551689
 2	61               -0.0252174
 2	62               0.01001894

 3	1                0.03009985
 3	2                0.00113202
 3	3                0.02014134
 3	4                0.00609629
 3	5                0.00041314
 3	6                -0.0022713
 3	7                0.01628035
 3	8                0.01568015
 3	9                0.00915592
 3	10               -0.0006622
 3	11               0.01722995
 3	12               0.01700326
 3	13               0.00634168
 3	14               -0.0091024
 3	15               0.0141967
 3	16               0.01805168
 3	17               -0.0075903
 3	18               -0.0169895
 3	19               -0.0010204
 3	20               0.0119382
 3	21               0.04706328
 3	22               -0.0065674
 3	23               0.00533721
 3	24               0.0316723
 3	25               -0.0015788
 3	26               0.04234509
 3	27               0.02123953
 3	28               0.02167813
 3	29               0.02929614
 3	30               -0.0015172
 3	31               -0.0125235
 3	32               0.03889626
 3	33               0.02053325
 3	34               -0.0012012
 3	35               0.01257767
 3	36               0.00841293
 3	37               -0.0258624
 3	38               -0.0102267
 3	39               -0.004479
 3	40               -0.0310854
 3	41               -0.0043269
 3	42               0.0192379
 3	43               -0.030522
 3	44               0.00311075
 3	45               0.0101588
 3	46               0.02429471
 3	47               -0.0176725
 3	48               0.01294056
 3	49               0.00420648
 3	50               0.00449915
 3	51               0.0
 3	52               0.06800865
 3	53               -0.0112316
 3	54               0.02515601
