set S:= 1 2 3 4;

set K:= 1 2 3 4	5 6 7 8	9 10 11	12 13 14 15 16 17 18 19	20 21 22 23 24 25 26 27	28 29 30 31 32	33 34 35 36 37 38 39 40	41 42 43 44 45 46 47 48	49 50 51 52 53 54 55 56	57 58 59 60 61;

param N:=30;
param xmax:= 25;
param gmax:= 60;
param gmin:= 7;

param lambda:=
1 0.222222222	
2 0.208333333	
3 0.25	
4 0.180555556;

param L0:=
1 16	
2 7.5	
3 18	
4 6.5;

param b1:=
1 -0.277777778	
2 0.208333333	
3 -0.25	
4 0.180555556;

param b2:=
1 0.222222222	
2 -0.291666667	
3 0.25	
4 -0.319444444;

param b3:=
1 0.511111111	
2 1.041666667	
3 0.65	
4 0.902777778;

param b4:=
1 1.111111111	
2 0.441666667	
3 1.25	
4 0.302777778;

param b5:=
1 0.511111111	
2 0	
3 0.65	
4 0;

param b6:=
1 0	
2 0.441666667	
3 0	
4 0.361111111;

