# data for liswet1-inv.mod  

param N := 200  ;

# ... solution x to forward problem  
param 	: 	x_star := 
	   1 	  0.2661654047606464
	   2 	  0.2701446773337532
	   3 	    0.27412394990686
	   4 	  0.2781032224799667
	   5 	  0.2820824950530735
	   6 	  0.2860617676261802
	   7 	  0.2900410401992871
	   8 	  0.2940203127723938
	   9 	  0.2979995853455006
	  10 	  0.3019788579186073
	  11 	  0.3059581304917142
	  12 	  0.3099374030648209
	  13 	  0.3139166756379276
	  14 	  0.3178959482110345
	  15 	  0.3218752207841412
	  16 	   0.325854493357248
	  17 	  0.3298337659303547
	  18 	  0.3338130385034615
	  19 	  0.3377923110765683
	  20 	  0.3417715836496751
	  21 	  0.3457508562227818
	  22 	  0.3497301287958886
	  23 	  0.3537094013689954
	  24 	  0.3576886739421021
	  25 	  0.3616679465152089
	  26 	  0.3656472190883157
	  27 	  0.3696264916614224
	  28 	  0.3736057642345292
	  29 	   0.377585036807636
	  30 	  0.3815643093807427
	  31 	  0.3855435819538495
	  32 	  0.3895228545269563
	  33 	   0.393502127100063
	  34 	  0.3974813996731698
	  35 	  0.4014606722462766
	  36 	  0.4054399448193833
	  37 	  0.4094192173924901
	  38 	  0.4133984899655969
	  39 	  0.4173777625387036
	  40 	  0.4213570351118104
	  41 	  0.4253363076849172
	  42 	   0.429315580258024
	  43 	  0.4332948528311307
	  44 	  0.4372741254042375
	  45 	  0.4412533979773443
	  46 	  0.4452326705504511
	  47 	  0.4492119431235578
	  48 	  0.4531912156966646
	  49 	  0.4571704882697714
	  50 	  0.4611497608428781
	  51 	  0.4651290334159849
	  52 	  0.4691083059890916
	  53 	  0.4730875785621985
	  54 	  0.4770668511353052
	  55 	   0.481046123708412
	  56 	  0.4850253962815188
	  57 	  0.4890046688546256
	  58 	  0.4929839414277323
	  59 	  0.4969632140008391
	  60 	  0.5009424865739458
	  61 	  0.5049217591470526
	  62 	  0.5089010317201593
	  63 	  0.5128803042932661
	  64 	   0.516859576866373
	  65 	  0.5208388494394797
	  66 	  0.5248181220125864
	  67 	  0.5287973945856932
	  68 	     0.5327766671588
	  69 	  0.5367559397319068
	  70 	  0.5407352123050135
	  71 	  0.5447144848781202
	  72 	  0.5486937574512271
	  73 	  0.5526730300243339
	  74 	  0.5566523025974406
	  75 	  0.5606315751705474
	  76 	  0.5646108477436542
	  77 	  0.5685901203167608
	  78 	  0.5725693928898676
	  79 	  0.5765486654629745
	  80 	  0.5805279380360813
	  81 	   0.584507210609188
	  82 	  0.5884864831822948
	  83 	  0.5924657557554015
	  84 	  0.5964450283285083
	  85 	   0.600424300901615
	  86 	  0.6044035734747218
	  87 	  0.6083828460478287
