# data for liswet1-inv.mod  

param N := 50  ;

# ... solution x to forward problem  
param 	: 	x_star := 
	   1 	  0.2615076808640952
	   2 	  0.2773413651329505
	   3 	   0.293175049401806
	   4 	  0.3090087336706613
	   5 	  0.3248424179395167
	   6 	  0.3406761022083721
	   7 	  0.3565097864772275
	   8 	  0.3723434707460828
	   9 	  0.3881771550149382
	  10 	  0.4040108392837936
	  11 	   0.419844523552649
	  12 	  0.4356782078215043
	  13 	  0.4515118920903597
	  14 	  0.4673455763592151
	  15 	  0.4831792606280705
	  16 	  0.4990129448969259
	  17 	  0.5148466291657812
	  18 	  0.5306803134346366
	  19 	  0.5465139977034921
	  20 	  0.5623476819723473
	  21 	  0.5781813662412028
	  22 	  0.5940150505100582
	  23 	  0.6098487347789134
	  24 	  0.6256824190477689
	  25 	  0.6415161033166243
	  26 	  0.6573497875854796
	  27 	   0.673183471854335
	  28 	  0.6890171561231905
	  29 	  0.7048508403920457
	  30 	  0.7206845246609012
	  31 	  0.7365182089297566
	  32 	  0.7523518931986118
	  33 	  0.7681855774674673
	  34 	  0.7840192617363227
	  35 	   0.799852946005178
	  36 	  0.8156866302740334
	  37 	  0.8315203145428889
	  38 	  0.8473539988117441
	  39 	  0.8631876830805996
	  40 	  0.8790213673494549
	  41 	  0.8948550516183102
	  42 	  0.9106887358871657
	  43 	   0.926522420156021
	  44 	  0.9423561044248764
	  45 	  0.9581897886937318
	  46 	  0.9740234729625872
	  47 	  0.9898571572314425
	  48 	   1.005690841500298
	  49 	   1.021524525769153
	  50 	   1.037358210038009
	  51 	   1.057170460561012
	  52 	   1.098662759204049 ;
 
