set S:= 1 2 3 4;

set K:= 1 2 3 4	5 6 7 8	9 10 11	12 13 14 15 16 17 18 19	20 21 22 23 24 25 26 27	28 29 30 31 32	33 34 35 36 37 38 39 40	41 42 43 44 45 46 47 48	49 50 51 52 53 54 55 56	57 58 59 60 61;

param N:=30;
param xmax:= 25;
param gmax:= 60;
param gmin:= 7;

param lambda:=
1 0.1944444444	
2 0.25	
3 0.2222222222	
4 0.2222222222;

param L0:=
1 14	
2 9	
3 16	
4 8;


param b1:=
1 -0.3055555556	
2 0.25	
3 -0.2777777778	
4 0.2222222222;

param b2:=
1 0.1944444444	
2 -0.25	
3 0.2222222222	
4 -0.2777777778;

param b3:=
1 0.3722222222	
2 1.25	
3 0.5111111111	
4 1.1111111111;

param b4:=
1 0.9722222222	
2 0.65	
3 1.1111111111	
4 0.5111111111;

param b5:=
1 0.3888888889	
2 0	
3 0.5111111111	
4 0;

param b6:=
1 0	
2 0.65	
3 0	
4 0.5111111111;
