# data file for tollmpec.mod

param:   TOLL:		clo,	cup :=
 	 4 	 5	.38	.45
	 4	11	.50	.55
	10	15	.34	.38;

param:  ARCS: 	A,	B,	K :=
	1 2	6     0.90      25.9002
	2 6     5     0.75      4.9582
	3 12    4     0.60      23.4035
	4 11    6     0.90      4.9088
	5 9     5     0.75      10
	7 8     3     0.45      7.8418
	8 9    10     1.50      5.0502
	9 10    3     0.45      13.9158
	10 15   6     0.90      13.5120
	10 17   8     1.20      4.9935
	11 14   4     0.60      4.8765
	13 24   4     0.60      5.0913
	14 23   4     0.60      4.9248
	15 22   4     0.60      10.3150
	16 18   3     0.45      19.6799
	18 20   4     0.60      23.4035
	20 21   6     0.90       5.0599
	21 22   2     0.30      5.2299
	22 23   4     0.60      5.0000
	1 3     4     0.60      23.4035
	3 4     4     0.60      17.1105
	4 5     2     0.30      17.7828
	5 6     4     0.60      4.9480
	6 8     2     0.30      4.8986
	7 18    2     0.30      23.4035
	8 16    5     0.75      5.0458
	10 11   5     0.75      10.00
	10 16   5     0.75      5.1335
	11 12   6     0.90      4.9088
	12 13   3     0.45      25.9002
	14 15   5     0.75      5.1275
	15 19   4     0.60      15.6508
	16 17   2     0.30      5.2299
	17 19   2     0.30      4.8240
	19 20   4     0.60      5.0026
	20 22   5     0.75      5.0757
	21 24   3     0.45      4.8854
	23 24   2     0.30      5.0785
# ... symmetrize the above below by hand
	2 1	6     0.90      25.9002
	6  2    5     0.75      4.9582
	12 3    4     0.60      23.4035
	11 4    6     0.90      4.9088
	9  5    5     0.75      10
	8  7    3     0.45      7.8418
	9  8   10     1.50      5.0502
	10 9    3     0.45      13.9158
	15 10   6     0.90      13.5120
	17 10   8     1.20      4.9935
	14 11   4     0.60      4.8765
	24 13   4     0.60      5.0913
	23 14   4     0.60      4.9248
	22 15   4     0.60      10.3150
	18 16   3     0.45      19.6799
	20 18   4     0.60      23.4035
	21 20   6     0.90       5.0599
	22 21   2     0.30      5.2299
	23 22   4     0.60      5.0000
	3  1    4     0.60      23.4035
	4  3    4     0.60      17.1105
	5  4    2     0.30      17.7828
	6  5    4     0.60      4.9480
	8  6    2     0.30      4.8986
	18 7    2     0.30      23.4035
	16 8    5     0.75      5.0458
	11 10   5     0.75      10.00
	16 10   5     0.75      5.1335
	12 11   6     0.90      4.9088
	13 12   3     0.45      25.9002
	15 14   5     0.75      5.1275
	19 15   4     0.60      15.6508
	17 16   2     0.30      5.2299
	19 17   2     0.30      4.8240
	20 19   4     0.60      5.0026
	22 20   5     0.75      5.0757
	24 21   3     0.45      4.8854
	24 23   2     0.30      5.0785;

param  d:		# Trip matrix/table part 1
   1  2  3  4  5  6  7  8  9 10 11 12 13 14 15 16 17 18 19 20 21 22 23 24 :=
1  0  1  1  5  2  3  5  8  5 13  5  2  5  3  5  5  4  1  3  3  1  4  3  1
2  .  0  1  2  1  4  2  4  2  6  2  1  3  1  1  4  2  0  1  1  0  1  0  0
3  .  .  0  2  1  3  1  2  1  3  3  2  1  1  1  2  1  0  0  0  0  1  1  0
4  .  .  .  0  5  4  4  7  7 12 14  6  6  5  5  8  5  1  2  3  2  4  5  2
5  .  .  .  .  0  2  2  5  8 10  5  2  2  1  2  5  2  0  1  1  1  2  1  0
6  .  .  .  .  .  0  4  8  4  8  4  2  2  1  2  9  5  1  2  3  1  2  1  1
7  .  .  .  .  .  .  0 10  6 19  5  7  4  2  5 14 10  2  4  5  2  5  2  1
8  .  .  .  .  .  .  .  0  8 16  8  6  6  4  6 22 14  3  7  9  4  5  3  2
9  .  .  .  .  .  .  .  .  0 28 14  6  6  6  9 14  9  2  4  6  3  7  5  2
10 .  .  .  .  .  .  .  .  .  0 40 20 19 21 40 44 39  7 18 25 12 26 18  8
11 .  .  .  .  .  .  .  .  .  .  0 14 10 16 14 14 10  1  4  6  4 11 13  6
12 .  .  .  .  .  .  .  .  .  .  .  0 13  7  7  7  6  2  3  4  3  7  7  5
13 .  .  .  .  .  .  .  .  .  .  .  .  0  6  7  6  5  1  3  6  6 13  8  8
14 .  .  .  .  .  .  .  .  .  .  .  .  .  0 13  7  7  1  3  5  4 12 11  4
15 .  .  .  .  .  .  .  .  .  .  .  .  .  .  0 12 15  2  8 11  8 26 10  4
16 .  .  .  .  .  .  .  .  .  .  .  .  .  .  .  0 28  5 13 16  6 12  5  3
17 .  .  .  .  .  .  .  .  .  .  .  .  .  .  .  .  0  6 17 17  6 17  6  3
18 .  .  .  .  .  .  .  .  .  .  .  .  .  .  .  .  .  0  3  4  1  3  1  0
19 .  .  .  .  .  .  .  .  .  .  .  .  .  .  .  .  .  .  0 12  4 12  3  1
20 .  .  .  .  .  .  .  .  .  .  .  .  .  .  .  .  .  .  .  0 12 24  7  4
21 .  .  .  .  .  .  .  .  .  .  .  .  .  .  .  .  .  .  .  .  0 18  7  5
22 .  .  .  .  .  .  .  .  .  .  .  .  .  .  .  .  .  .  .  .  .  0 21 11
23 .  .  .  .  .  .  .  .  .  .  .  .  .  .  .  .  .  .  .  .  .  .  0  7
24 .  .  .  .  .  .  .  .  .  .  .  .  .  .  .  .  .  .  .  .  .  .  .  0;

# symmetrize the trip matrix & scale by 0.11 (same as in GAMS)
for {i in N}
    for {j in 1..i-1}
        let d[i,j] := d[j,i];
for {i in N}
    for {j in N}
        let d[i,j] := d[i,j] * 0.11;

# Initial levels for arc flows are needed so that we can
# properly evaluate the nonlinear functions:

let {(i,j) in ARCS} F[i,j] := K[i,j];
let {(i,j) in ARCS, k in DEST: i != k} x[i,j,k] := 0;
let {(i,j) in ARCS} T[i,j] := A[i,j];
let {(i,j) in TOLL, k in DEST: i != k} x[i,j,k] := 0.001;
let {(i,j) in TOLL} trffcost[i,j] := (clo[i,j] + cup[i,j]) / 2;
