set Nodes := A B C D E F G H I J;

set Arcs := (A,B) (B,A) (A,C) (C,A) (B,C) (C,B) (B,D) (D,B) (B,E) (E,B) (C,D) (D,C) (D,E) (E,D) (F,G) (G,F) (F,H) (H,F) (G,H) (H,G) (G,I) (I,G) (G,J) (J,G) (H,I) (I,H) (I,J) (J,I) (E,F) (F,E);

param CapCost :=
A B 112
A C 123
B C 116
B D 128
B E 130
C D 112
D E 110
B A 112
C A 123
C B 116
D B 128
E B 130
D C 112
E D 110
E F 110
F E 110
F G 112
F H 128
G H 116
G I 123
G J 130
H I 112
I J 110
G F 112
H F 128
H G 116
I G 123
J G 130
I H 112
J I 110
;

param b0Cost :=
A B 1120
A C 1230
B C 1160
B D 1280
B E 1300
C D 1120
D E 1100
B A 1120
C A 1230
C B 1160
D B 1280
E B 1300
D C 1120
E D 1100
E F 1100
F E 1100
F G 1120
F H 1280
G H 1160
G I 1230
G J 1300
H I 1120
I J 1100
G F 1120
H F 1280
H G 1160
I G 1230
J G 1300
I H 1120
J I 1100
;

param FCost:
A     B     C     D     E     F     G     H     I     J   :=
A 0.00 560.00 1845.00 2010.00 2175.00 2340.00 835.00 1780.00 2835.00 2850.00
B 560.00 0.00 580.00 640.00 1950.00 1420.00 1540.00 830.00 1780.00 1800.00
C 1845.00 580.00 0.00 560.00 1250.00 1380.00 705.00 2310.00 1670.00 850.00
D 2010.00 640.00 560.00 0.00 1100.00 620.00 1380.00 710.00 1560.00 800.00
E 2175.00 1950.00 1250.00 1100.00 0.00 1650.00 1250.00 1300.00 725.00 1500.00
F 2340.00 1420.00 1380.00 620.00 1650.00 0.00 1680.00 1920.00 1340.00 700.00
G 835.00 1540.00 705.00 1380.00 1250.00 1680.00 0.00 1740.00 615.00 650.00
H 1780.00 830.00 2310.00 710.00 1300.00 1920.00 1740.00 0.00 1680.00 600.00
I 2835.00 1780.00 1670.00 1560.00 725.00 1340.00 615.00 1680.00 0.00 1100.00
J 2850.00 1800.00 850.00 800.00 1500.00 700.00 650.00 600.00 1100.00 0.00
;

param Demand:
A     B     C     D     E     F     G     H     I     J   :=
A  0   2.88 2.76 2.79 2.62 3.07 2.75 2.68 2.98 2.79
B 2.88  0   3.07 2.96 2.56 2.30 2.58 2.47 2.30 2.55
C 2.76 3.07  0   3.23 2.67 3.42 2.65 2.52 2.63 2.70
D 2.79 2.96 3.23  0   2.82 2.88 2.34 2.75 2.89 3.07
E 2.62 2.56 2.67 2.82  0   2.81 2.64 2.67 3.05 2.58
F 3.07 2.30 3.42 2.88 2.81  0   2.76 2.31 2.58 2.81
G 2.75 2.58 2.65 2.34 2.64 2.76  0   2.98 2.44 2.36
H 2.68 2.47 2.52 2.75 2.67 2.31 2.98  0   2.70 3.22
I 2.98 2.30 2.63 2.89 3.05 2.58 2.44 2.70  0   2.78
J 2.79 2.55 2.70 3.07 2.58 2.81 2.36 3.22 2.78  0
;

param M := 170.76 ;
