set Nodes := A B C D E F G H I J;

set Arcs := (A,B) (B,A) (A,C) (C,A) (B,C) (C,B) (B,D) (D,B) (B,E) (E,B) (C,D) (D,C) (D,E) (E,D) (F,G) (G,F) (F,H) (H,F) (G,H) (H,G) (G,I) (I,G) (G,J) (J,G) (H,I) (I,H) (I,J) (J,I) (E,F) (F,E);

param CapCost :=
A B 112
A C 123
B C 116
B D 128
B E 130
C D 112
D E 110
B A 112
C A 123
C B 116
D B 128
E B 130
D C 112
E D 110
E F 110
F E 110
F G 112
F H 128
G H 116
G I 123
G J 130
H I 112
I J 110
G F 112
H F 128
H G 116
I G 123
J G 130
I H 112
J I 110
;

param b0Cost :=
A B 1120
A C 1230
B C 1160
B D 1280
B E 1300
C D 1120
D E 1100
B A 1120
C A 1230
C B 1160
D B 1280
E B 1300
D C 1120
E D 1100
E F 1100
F E 1100
F G 1120
F H 1280
G H 1160
G I 1230
G J 1300
H I 1120
I J 1100
G F 1120
H F 1280
H G 1160
I G 1230
J G 1300
I H 1120
J I 1100
;

param FCost:
A     B     C     D     E     F     G     H     I     J   :=
A 0.00 1680.00 615.00 2010.00 2175.00 2340.00 2505.00 1780.00 1890.00 950.00
B 1680.00 0.00 580.00 1920.00 650.00 710.00 1540.00 1660.00 2670.00 2700.00
C 615.00 580.00 0.00 560.00 1875.00 2070.00 1410.00 770.00 835.00 2550.00
D 2010.00 1920.00 560.00 0.00 1650.00 1240.00 1380.00 2130.00 1560.00 800.00
E 2175.00 650.00 1875.00 1650.00 0.00 550.00 1250.00 650.00 1450.00 750.00
F 2340.00 710.00 2070.00 1240.00 550.00 0.00 560.00 640.00 670.00 1400.00
G 2505.00 1540.00 1410.00 1380.00 1250.00 560.00 0.00 1160.00 1230.00 1300.00
H 1780.00 1660.00 770.00 2130.00 650.00 640.00 1160.00 0.00 1680.00 600.00
I 1890.00 2670.00 835.00 1560.00 1450.00 670.00 1230.00 1680.00 0.00 550.00
J 950.00 2700.00 2550.00 800.00 750.00 1400.00 1300.00 600.00 550.00 0.00
;

param Demand:
A     B     C     D     E     F     G     H     I     J   :=
A  0   2.85 3.79 3.31 3.20 2.58 2.78 3.57 2.99 3.30
B 2.85  0   2.60 3.38 3.18 3.16 2.92 3.28 3.20 3.21
C 3.79 2.60  0   3.38 2.83 2.73 3.68 3.21 3.16 3.19
D 3.31 3.38 3.38  0   3.47 2.92 2.66 3.05 3.33 3.04
E 3.20 3.18 2.83 3.47  0   3.92 3.02 2.96 2.84 2.85
F 2.58 3.16 2.73 2.92 3.92  0   3.10 3.34 2.96 3.30
G 2.78 2.92 3.68 2.66 3.02 3.10  0   3.32 2.77 3.14
H 3.57 3.28 3.21 3.05 2.96 3.34 3.32  0   2.89 2.86
I 2.99 3.20 3.16 3.33 2.84 2.96 2.77 2.89  0   2.85
J 3.30 3.21 3.19 3.04 2.85 3.30 3.14 2.86 2.85  0
;

param M := 170.76 ;
