set Nodes := A B C D E F G H I J;

set Arcs := (A,B) (B,A) (A,C) (C,A) (B,C) (C,B) (B,D) (D,B) (B,E) (E,B) (C,D) (D,C) (D,E) (E,D) (F,G) (G,F) (F,H) (H,F) (G,H) (H,G) (G,I) (I,G) (G,J) (J,G) (H,I) (I,H) (I,J) (J,I) (E,F) (F,E);

param CapCost :=
A B 112
A C 123
B C 116
B D 128
B E 130
C D 112
D E 110
B A 112
C A 123
C B 116
D B 128
E B 130
D C 112
E D 110
E F 110
F E 110
F G 112
F H 128
G H 116
G I 123
G J 130
H I 112
I J 110
G F 112
H F 128
H G 116
I G 123
J G 130
I H 112
J I 110
;

param b0Cost :=
A B 1120
A C 1230
B C 1160
B D 1280
B E 1300
C D 1120
D E 1100
B A 1120
C A 1230
C B 1160
D B 1280
E B 1300
D C 1120
E D 1100
E F 1100
F E 1100
F G 1120
F H 1280
G H 1160
G I 1230
G J 1300
H I 1120
I J 1100
G F 1120
H F 1280
H G 1160
I G 1230
J G 1300
I H 1120
J I 1100
;

param FCost:
A     B     C     D     E     F     G     H     I     J   :=
A 0.00 560.00 1230.00 670.00 2175.00 780.00 835.00 1780.00 2835.00 2850.00
B 560.00 0.00 1740.00 1280.00 650.00 2130.00 770.00 1660.00 2670.00 2700.00
C 1230.00 1740.00 0.00 1120.00 1250.00 1380.00 705.00 1540.00 835.00 850.00
D 670.00 1280.00 1120.00 0.00 1100.00 620.00 1380.00 2130.00 780.00 1600.00
E 2175.00 650.00 1250.00 1100.00 0.00 550.00 625.00 1300.00 725.00 1500.00
F 780.00 2130.00 1380.00 620.00 550.00 0.00 1680.00 640.00 1340.00 700.00
G 835.00 770.00 705.00 1380.00 625.00 1680.00 0.00 580.00 615.00 1300.00
H 1780.00 1660.00 1540.00 2130.00 1300.00 640.00 580.00 0.00 560.00 600.00
I 2835.00 2670.00 835.00 780.00 725.00 1340.00 615.00 560.00 0.00 1650.00
J 2850.00 2700.00 850.00 1600.00 1500.00 700.00 1300.00 600.00 1650.00 0.00
;

param Demand:
A     B     C     D     E     F     G     H     I     J   :=
A  0   2.03 2.28 2.19 2.27 2.02 2.08 2.58 2.43 2.30
B 2.03  0   2.09 2.28 2.27 2.16 1.80 2.27 2.42 2.41
C 2.28 2.09  0   2.11 1.96 2.63 1.82 2.33 2.27 2.29
D 2.19 2.28 2.11  0   1.87 2.12 1.65 2.16 1.95 1.80
E 2.27 2.27 1.96 1.87  0   2.22 1.57 2.53 2.08 2.04
F 2.02 2.16 2.63 2.12 2.22  0   2.31 2.26 1.96 2.19
G 2.08 1.80 1.82 1.65 1.57 2.31  0   2.19 2.52 1.73
H 2.58 2.27 2.33 2.16 2.53 2.26 2.19  0   2.64 2.24
I 2.43 2.42 2.27 1.95 2.08 1.96 2.52 2.64  0   2.00
J 2.30 2.41 2.29 1.80 2.04 2.19 1.73 2.24 2.00  0
;

param M := 170.76 ;
