set TimePeriods := 1 2 3 4 5 6 ;
set Processes := 1 2 3 ;
set Streams := 1 2 3 4 5 6 7 8 9 10 11 12 13 ;
set Products := 12 13 ;
set RawMaterials := 1 4 6 ;
set Contracts_Length := 1 2 3 4 ;
set Contracts := 1 2 3 4 ;

param Capacity :=
    1   27
    2   30
    3	25
;

param ProcessConstants :=
    1	0.9
    2   0.85
    3   0.8
;

param SupplyAndDemandUBs :=
    1   1   100
    1   2   100
    1   3   100
    1   4   100
    1   5   100
    1   6   100
    4   1   30
    4   2   30
    4   3   30
    4   4   30
    4   5   30
    4   6   30
    6   1   100
    6   2   100
    6   3   100
    6   4   100
    6   5   100
    6   6   100
    12  1   20
    12  2   25
    12  3   22
    12  4   30
    12  5   28
    12  6   26
    13  1   51
    13  2   50
    13  3   53
    13  4   60
    13  5   59
    13  6   50
;



#
# JDS: Note that you can specify data as a table (similar to GAMS...
#
#param DemandLB :=
#    12  1   5
#    12  2   5
#    12  3   5
#    12  4   5
#    12  5   5
#    12  6   5
#    13  1   5
#    13  2   5
#    13  3   5
#    13  4   5
#    13  5   5
#    13  6   5
#;

param DemandLB:
        1   2   3   4   5   6 :=
    12  5   5   5   5   5   5
    13  5   5   5   5   5   5 ;


param OperatingCosts :=
    1   1   0.6
    1   2   0.7
    1   3   0.6
    1   4   0.6
    1   5   0.7
    1   6   0.7
    2   1   0.5
    2   2   0.5
    2   3   0.5
    2   4   0.4
    2   5   0.4
    2   6   0.5
    3   1   0.6
    3   2   0.6
    3   3   0.5
    3   4   0.6
    3   5   0.6
    3   6   0.5
;

param Prices :=
    1   1   2.2
    1   2   2.4
    1   3   2.4
    1   4   2.3
    1   5   2.2
    1   6   2.2
    4   1   1.9
    4   2   2.4
    4   3   2.4
    4   4   2.2
    4   5   2.1
    4   6   2.1
    6   1   5.2
    6   2   5.7
    6   3   5.5
    6   4   5.4
    6   5   5.7
    6   6   5.7
    12  1   22.1
    12  2   23.9
    12  3   24.4
    12  4   22.7
    12  5   27.9
    12  6   23.6
    13  1   20.5
    13  2   21.5
    13  3   24.5
    13  4   21.2
    13  5   22.8
    13  6   24.9
;

param RegPrice_Discount :=
    1   1   2.25
    1   2   2.25
    1   3   2.25
    1   4   2.25
    1   5   2.25
    1   6   2.25
    4   1   2.35
    4   2   2.35
    4   3   2.35
    4   4   2.35
    4   5   2.35
    4   6   2.35
    6   1   5.5
    6   2   5.5
    6   3   5.5
    6   4   5.5
    6   5   5.5
    6   6   5.5
;

param DiscountPrice_Discount :=
    1   1   2.15
    1   2   2.15
    1   3   2.15
    1   4   2.15
    1   5   2.15
    1   6   2.15
    4   1   2.1
    4   2   2.1
    4   3   2.1
    4   4   2.1
    4   5   2.1
    4   6   2.1
    6   1   5.3
    6   2   5.3
    6   3   5.3
    6   4   5.3
    6   5   5.3
    6   6   5.3
;

param RegPrice_Bulk :=
    1   1   2.3
    1   2   2.3
    1   3   2.3
    1   4   2.3
    1   5   2.3
    1   6   2.3
    4   1   2.35
    4   2   2.35
    4   3   2.35
    4   4   2.35
    4   5   2.35
    4   6   2.35
    6   1   5.5
    6   2   5.5
    6   3   5.5
    6   4   5.5
    6   5   5.5
    6   6   5.5
;

param DiscountPrice_Bulk :=
    1   1   2.1
    1   2   2.1
    1   3   2.1
    1   4   2.1
    1   5   2.1
    1   6   2.1
    4   1   2.0
    4   2   2.0
    4   3   2.0
    4   4   2.0
    4   5   2.0
    4   6   2.0
    6   1   5.25
    6   2   5.25
    6   3   5.25
    6   4   5.25
    6   5   5.25
    6   6   5.25
;

param Prices_Length :=
    1   1    1   2.25
    1   1    2   2.25
    1   1    3   2.25
    1   1    4   2.25
    1   1    5   2.25
    1   1    6   2.25
    4   1    1   2.35
    4   1    2   2.35
    4   1    3   2.35
    4   1    4   2.35
    4   1    5   2.35
    4   1    6   2.35
    6   1    1   5.5
    6   1    2   5.5
    6   1    3   5.5
    6   1    4   5.5
    6   1    5   5.5
    6   1    6   5.5
    1   2    1   2.2
    1   2    2   2.2
    1   2    3   2.2
    1   2    4   2.2
    1   2    5   2.2
    1   2    6   2.2
    4   2    1   2.25
    4   2    2   2.25
    4   2    3   2.25
    4   2    4   2.25
    4   2    5   2.25
    4   2    6   2.25
    6   2    1   5.4
    6   2    2   5.4
    6   2    3   5.4
    6   2    4   5.4
    6   2    5   5.4
    6   2    6   5.4
    1   3    1   2.15
    1   3    2   2.15
    1   3    3   2.15
    1   3    4   2.15
    1   3    5   2.15
    1   3    6   2.15
    4   3    1   2.15
    4   3    2   2.15
    4   3    3   2.15
    4   3    4   2.15
    4   3    5   2.15
    4   3    6   2.15
    6   3    1   5.3
    6   3    2   5.3
    6   3    3   5.3
    6   3    4   5.3
    6   3    5   5.3
    6   3    6   5.3
;

