set Nodes := A B C D E F G H I J;

set Arcs := (A,B) (B,A) (A,C) (C,A) (B,C) (C,B) (B,D) (D,B) (B,E) (E,B) (C,D) (D,C) (D,E) (E,D) (F,G) (G,F) (F,H) (H,F) (G,H) (H,G) (G,I) (I,G) (G,J) (J,G) (H,I) (I,H) (I,J) (J,I) (E,F) (F,E);

param CapCost :=
A B 112
A C 123
B C 116
B D 128
B E 130
C D 112
D E 110
B A 112
C A 123
C B 116
D B 128
E B 130
D C 112
E D 110
E F 110
F E 110
F G 112
F H 128
G H 116
G I 123
G J 130
H I 112
I J 110
G F 112
H F 128
H G 116
I G 123
J G 130
I H 112
J I 110
;

param b0Cost :=
A B 1120
A C 1230
B C 1160
B D 1280
B E 1300
C D 1120
D E 1100
B A 1120
C A 1230
C B 1160
D B 1280
E B 1300
D C 1120
E D 1100
E F 1100
F E 1100
F G 1120
F H 1280
G H 1160
G I 1230
G J 1300
H I 1120
I J 1100
G F 1120
H F 1280
H G 1160
I G 1230
J G 1300
I H 1120
J I 1100
;

param FCost:
A     B     C     D     E     F     G     H     I     J   :=
A 0.00 1120.00 1230.00 1340.00 2175.00 2340.00 2505.00 2670.00 1890.00 2850.00
B 1120.00 0.00 1740.00 640.00 1300.00 1420.00 1540.00 1660.00 1780.00 900.00
C 1230.00 1740.00 0.00 1120.00 625.00 2070.00 705.00 2310.00 1670.00 2550.00
D 1340.00 640.00 1120.00 0.00 1650.00 1860.00 690.00 1420.00 780.00 800.00
E 2175.00 1300.00 625.00 1650.00 0.00 1100.00 1250.00 1950.00 725.00 1500.00
F 2340.00 1420.00 2070.00 1860.00 1100.00 0.00 1680.00 1280.00 670.00 2100.00
G 2505.00 1540.00 705.00 690.00 1250.00 1680.00 0.00 1160.00 615.00 1300.00
H 2670.00 1660.00 2310.00 1420.00 1950.00 1280.00 1160.00 0.00 560.00 600.00
I 1890.00 1780.00 1670.00 780.00 725.00 670.00 615.00 560.00 0.00 550.00
J 2850.00 900.00 2550.00 800.00 1500.00 2100.00 1300.00 600.00 550.00 0.00
;

param Demand:
A     B     C     D     E     F     G     H     I     J   :=
A  0   2.31 2.07 2.26 2.37 2.59 2.65 2.25 2.39 2.16
B 2.31  0   2.33 2.27 2.48 2.50 2.36 2.48 2.52 2.64
C 2.07 2.33  0   2.36 2.67 2.69 2.67 2.61 2.46 2.39
D 2.26 2.27 2.36  0   2.75 2.40 2.73 2.15 2.30 2.43
E 2.37 2.48 2.67 2.75  0   2.59 2.30 2.27 2.37 2.36
F 2.59 2.50 2.69 2.40 2.59  0   2.69 2.61 2.82 2.13
G 2.65 2.36 2.67 2.73 2.30 2.69  0   2.76 2.50 2.34
H 2.25 2.48 2.61 2.15 2.27 2.61 2.76  0   2.32 2.51
I 2.39 2.52 2.46 2.30 2.37 2.82 2.50 2.32  0   2.47
J 2.16 2.64 2.39 2.43 2.36 2.13 2.34 2.51 2.47  0
;

param M := 191.07 ;
