set Nodes := A B C D E F G H I J;

set Arcs := (A,B) (B,A) (A,C) (C,A) (B,C) (C,B) (B,D) (D,B) (B,E) (E,B) (C,D) (D,C) (D,E) (E,D) (F,G) (G,F) (F,H) (H,F) (G,H) (H,G) (G,I) (I,G) (G,J) (J,G) (H,I) (I,H) (I,J) (J,I) (E,F) (F,E);

param CapCost :=
A B 112
A C 123
B C 116
B D 128
B E 130
C D 112
D E 110
B A 112
C A 123
C B 116
D B 128
E B 130
D C 112
E D 110
E F 110
F E 110
F G 112
F H 128
G H 116
G I 123
G J 130
H I 112
I J 110
G F 112
H F 128
H G 116
I G 123
J G 130
I H 112
J I 110
;

param b0Cost :=
A B 1120
A C 1230
B C 1160
B D 1280
B E 1300
C D 1120
D E 1100
B A 1120
C A 1230
C B 1160
D B 1280
E B 1300
D C 1120
E D 1100
E F 1100
F E 1100
F G 1120
F H 1280
G H 1160
G I 1230
G J 1300
H I 1120
I J 1100
G F 1120
H F 1280
H G 1160
I G 1230
J G 1300
I H 1120
J I 1100
;

param FCost:
A     B     C     D     E     F     G     H     I     J   :=
A 0.00 1680.00 1230.00 2010.00 725.00 1560.00 835.00 890.00 2835.00 1900.00
B 1680.00 0.00 1160.00 640.00 1950.00 2130.00 770.00 2490.00 2670.00 2700.00
C 1230.00 1160.00 0.00 560.00 1875.00 2070.00 705.00 1540.00 1670.00 2550.00
D 2010.00 640.00 560.00 0.00 550.00 1240.00 2070.00 1420.00 780.00 2400.00
E 725.00 1950.00 1875.00 550.00 0.00 1650.00 625.00 1950.00 2175.00 750.00
F 1560.00 2130.00 2070.00 1240.00 1650.00 0.00 560.00 1280.00 2010.00 2100.00
G 835.00 770.00 705.00 2070.00 625.00 560.00 0.00 1160.00 615.00 1300.00
H 890.00 2490.00 1540.00 1420.00 1950.00 1280.00 1160.00 0.00 560.00 1200.00
I 2835.00 2670.00 1670.00 780.00 2175.00 2010.00 615.00 560.00 0.00 1650.00
J 1900.00 2700.00 2550.00 2400.00 750.00 2100.00 1300.00 1200.00 1650.00 0.00
;

param Demand:
A     B     C     D     E     F     G     H     I     J   :=
A  0   2.98 3.02 3.03 2.97 2.35 2.52 2.95 2.88 2.94
B 2.98  0   2.69 2.65 3.19 3.00 2.79 3.15 2.59 2.30
C 3.02 2.69  0   3.18 2.94 3.19 3.50 2.90 3.02 3.03
D 3.03 2.65 3.18  0   2.57 2.79 2.29 3.38 2.93 3.21
E 2.97 3.19 2.94 2.57  0   2.87 2.71 2.87 3.07 3.08
F 2.35 3.00 3.19 2.79 2.87  0   3.16 2.86 3.27 2.38
G 2.52 2.79 3.50 2.29 2.71 3.16  0   2.93 2.98 2.55
H 2.95 3.15 2.90 3.38 2.87 2.86 2.93  0   2.67 2.70
I 2.88 2.59 3.02 2.93 3.07 3.27 2.98 2.67  0   2.66
J 2.94 2.30 3.03 3.21 3.08 2.38 2.55 2.70 2.66  0
;

param M := 191.07 ;
