set Nodes := A B C D E F G H I J;

set Arcs := (A,B) (B,A) (A,C) (C,A) (B,C) (C,B) (B,D) (D,B) (B,E) (E,B) (C,D) (D,C) (D,E) (E,D) (F,G) (G,F) (F,H) (H,F) (G,H) (H,G) (G,I) (I,G) (G,J) (J,G) (H,I) (I,H) (I,J) (J,I) (E,F) (F,E);

param CapCost :=
A B 112
A C 123
B C 116
B D 128
B E 130
C D 112
D E 110
B A 112
C A 123
C B 116
D B 128
E B 130
D C 112
E D 110
E F 110
F E 110
F G 112
F H 128
G H 116
G I 123
G J 130
H I 112
I J 110
G F 112
H F 128
H G 116
I G 123
J G 130
I H 112
J I 110
;

param b0Cost :=
A B 1120
A C 1230
B C 1160
B D 1280
B E 1300
C D 1120
D E 1100
B A 1120
C A 1230
C B 1160
D B 1280
E B 1300
D C 1120
E D 1100
E F 1100
F E 1100
F G 1120
F H 1280
G H 1160
G I 1230
G J 1300
H I 1120
I J 1100
G F 1120
H F 1280
H G 1160
I G 1230
J G 1300
I H 1120
J I 1100
;

param FCost:
A     B     C     D     E     F     G     H     I     J   :=
A 0.00 560.00 1230.00 1340.00 725.00 780.00 1670.00 1780.00 945.00 2850.00
B 560.00 0.00 580.00 640.00 1950.00 2130.00 770.00 830.00 890.00 2700.00
C 1230.00 580.00 0.00 1680.00 1875.00 690.00 2115.00 2310.00 835.00 1700.00
D 1340.00 640.00 1680.00 0.00 1650.00 1240.00 690.00 2130.00 1560.00 800.00
E 725.00 1950.00 1875.00 1650.00 0.00 1100.00 625.00 1950.00 725.00 1500.00
F 780.00 2130.00 690.00 1240.00 1100.00 0.00 560.00 1280.00 1340.00 2100.00
G 1670.00 770.00 2115.00 690.00 625.00 560.00 0.00 580.00 1845.00 1950.00
H 1780.00 830.00 2310.00 2130.00 1950.00 1280.00 580.00 0.00 560.00 1200.00
I 945.00 890.00 835.00 1560.00 725.00 1340.00 1845.00 560.00 0.00 1100.00
J 2850.00 2700.00 1700.00 800.00 1500.00 2100.00 1950.00 1200.00 1100.00 0.00
;

param Demand:
A     B     C     D     E     F     G     H     I     J   :=
A  0   3.52 3.49 3.79 3.56 3.99 3.55 4.07 3.52 3.55
B 3.52  0   3.75 4.04 3.76 3.49 3.46 3.45 4.15 3.41
C 3.49 3.75  0   3.54 2.95 3.14 3.72 3.59 3.90 3.95
D 3.79 4.04 3.54  0   3.44 3.50 3.52 3.89 3.37 3.27
E 3.56 3.76 2.95 3.44  0   3.59 3.37 3.49 3.74 3.66
F 3.99 3.49 3.14 3.50 3.59  0   3.84 3.60 3.88 3.45
G 3.55 3.46 3.72 3.52 3.37 3.84  0   3.81 4.07 3.77
H 4.07 3.45 3.59 3.89 3.49 3.60 3.81  0   3.61 3.15
I 3.52 4.15 3.90 3.37 3.74 3.88 4.07 3.61  0   3.71
J 3.55 3.41 3.95 3.27 3.66 3.45 3.77 3.15 3.71  0
;

param M := 169.16 ;
