set Nodes := A B C D E F G H I J;

set Arcs := (A,B) (B,A) (A,C) (C,A) (B,C) (C,B) (B,D) (D,B) (B,E) (E,B) (C,D) (D,C) (D,E) (E,D) (F,G) (G,F) (F,H) (H,F) (G,H) (H,G) (G,I) (I,G) (G,J) (J,G) (H,I) (I,H) (I,J) (J,I) (E,F) (F,E);

param CapCost :=
A B 112
A C 123
B C 116
B D 128
B E 130
C D 112
D E 110
B A 112
C A 123
C B 116
D B 128
E B 130
D C 112
E D 110
E F 110
F E 110
F G 112
F H 128
G H 116
G I 123
G J 130
H I 112
I J 110
G F 112
H F 128
H G 116
I G 123
J G 130
I H 112
J I 110
;

param b0Cost :=
A B 1120
A C 1230
B C 1160
B D 1280
B E 1300
C D 1120
D E 1100
B A 1120
C A 1230
C B 1160
D B 1280
E B 1300
D C 1120
E D 1100
E F 1100
F E 1100
F G 1120
F H 1280
G H 1160
G I 1230
G J 1300
H I 1120
I J 1100
G F 1120
H F 1280
H G 1160
I G 1230
J G 1300
I H 1120
J I 1100
;

param FCost:
A     B     C     D     E     F     G     H     I     J   :=
A 0.00 1120.00 1230.00 1340.00 2175.00 1560.00 1670.00 890.00 1890.00 950.00
B 1120.00 0.00 1160.00 640.00 1950.00 710.00 2310.00 830.00 1780.00 1800.00
C 1230.00 1160.00 0.00 1120.00 1250.00 2070.00 2115.00 1540.00 835.00 850.00
D 1340.00 640.00 1120.00 0.00 1100.00 1240.00 1380.00 1420.00 1560.00 2400.00
E 2175.00 1950.00 1250.00 1100.00 0.00 1100.00 1875.00 1300.00 2175.00 1500.00
F 1560.00 710.00 2070.00 1240.00 1100.00 0.00 1120.00 1920.00 2010.00 700.00
G 1670.00 2310.00 2115.00 1380.00 1875.00 1120.00 0.00 580.00 615.00 1300.00
H 890.00 830.00 1540.00 1420.00 1300.00 1920.00 580.00 0.00 560.00 600.00
I 1890.00 1780.00 835.00 1560.00 2175.00 2010.00 615.00 560.00 0.00 550.00
J 950.00 1800.00 850.00 2400.00 1500.00 700.00 1300.00 600.00 550.00 0.00
;

param Demand:
A     B     C     D     E     F     G     H     I     J   :=
A  0   2.56 2.52 2.92 2.36 2.16 2.38 2.67 2.98 2.66
B 2.56  0   2.95 2.35 2.74 2.68 2.90 2.68 2.85 2.81
C 2.52 2.95  0   2.50 2.46 2.56 2.97 2.47 2.46 2.30
D 2.92 2.35 2.50  0   2.11 2.85 2.39 2.64 2.56 2.10
E 2.36 2.74 2.46 2.11  0   2.63 2.55 2.31 2.47 3.07
F 2.16 2.68 2.56 2.85 2.63  0   2.79 2.59 2.48 2.39
G 2.38 2.90 2.97 2.39 2.55 2.79  0   2.69 2.80 2.60
H 2.67 2.68 2.47 2.64 2.31 2.59 2.69  0   2.68 2.80
I 2.98 2.85 2.46 2.56 2.47 2.48 2.80 2.68  0   2.81
J 2.66 2.81 2.30 2.10 3.07 2.39 2.60 2.80 2.81  0
;

param M := 169.16 ;
