set Nodes := A B C D E F G H I J;

set Arcs := (A,B) (B,A) (A,C) (C,A) (B,C) (C,B) (B,D) (D,B) (B,E) (E,B) (C,D) (D,C) (D,E) (E,D) (F,G) (G,F) (F,H) (H,F) (G,H) (H,G) (G,I) (I,G) (G,J) (J,G) (H,I) (I,H) (I,J) (J,I) (E,F) (F,E);

param CapCost :=
A B 112
A C 123
B C 116
B D 128
B E 130
C D 112
D E 110
B A 112
C A 123
C B 116
D B 128
E B 130
D C 112
E D 110
E F 110
F E 110
F G 112
F H 128
G H 116
G I 123
G J 130
H I 112
I J 110
G F 112
H F 128
H G 116
I G 123
J G 130
I H 112
J I 110
;

param b0Cost :=
A B 1120
A C 1230
B C 1160
B D 1280
B E 1300
C D 1120
D E 1100
B A 1120
C A 1230
C B 1160
D B 1280
E B 1300
D C 1120
E D 1100
E F 1100
F E 1100
F G 1120
F H 1280
G H 1160
G I 1230
G J 1300
H I 1120
I J 1100
G F 1120
H F 1280
H G 1160
I G 1230
J G 1300
I H 1120
J I 1100
;

param FCost:
A     B     C     D     E     F     G     H     I     J   :=
A 0.00 1680.00 615.00 1340.00 1450.00 2340.00 2505.00 890.00 1890.00 2850.00
B 1680.00 0.00 1160.00 1920.00 1300.00 1420.00 1540.00 1660.00 2670.00 1800.00
C 615.00 1160.00 0.00 1680.00 1875.00 690.00 1410.00 770.00 2505.00 2550.00
D 1340.00 1920.00 1680.00 0.00 1650.00 1860.00 1380.00 1420.00 1560.00 2400.00
E 1450.00 1300.00 1875.00 1650.00 0.00 1100.00 625.00 1300.00 1450.00 1500.00
F 2340.00 1420.00 690.00 1860.00 1100.00 0.00 1680.00 1280.00 670.00 1400.00
G 2505.00 1540.00 1410.00 1380.00 625.00 1680.00 0.00 580.00 1845.00 1300.00
H 890.00 1660.00 770.00 1420.00 1300.00 1280.00 580.00 0.00 1680.00 1800.00
I 1890.00 2670.00 2505.00 1560.00 1450.00 670.00 1845.00 1680.00 0.00 1100.00
J 2850.00 1800.00 2550.00 2400.00 1500.00 1400.00 1300.00 1800.00 1100.00 0.00
;

param Demand:
A     B     C     D     E     F     G     H     I     J   :=
A  0   3.09 3.50 2.79 3.32 3.50 3.05 2.80 2.82 3.01
B 3.09  0   3.08 3.21 3.43 3.07 3.40 3.51 3.45 2.95
C 3.50 3.08  0   3.07 3.24 3.21 3.15 2.90 3.31 2.64
D 2.79 3.21 3.07  0   2.75 3.19 3.42 2.82 3.08 2.59
E 3.32 3.43 3.24 2.75  0   3.07 3.06 3.09 3.21 3.08
F 3.50 3.07 3.21 3.19 3.07  0   3.34 3.46 2.67 3.44
G 3.05 3.40 3.15 3.42 3.06 3.34  0   3.44 3.20 2.62
H 2.80 3.51 2.90 2.82 3.09 3.46 3.44  0   3.17 3.05
I 2.82 3.45 3.31 3.08 3.21 2.67 3.20 3.17  0   2.89
J 3.01 2.95 2.64 2.59 3.08 3.44 2.62 3.05 2.89  0
;

param M := 169.16 ;
