set Nodes := A B C D E F G H I J;

set Arcs := (A,B) (B,A) (A,C) (C,A) (B,C) (C,B) (B,D) (D,B) (B,E) (E,B) (C,D) (D,C) (D,E) (E,D) (F,G) (G,F) (F,H) (H,F) (G,H) (H,G) (G,I) (I,G) (G,J) (J,G) (H,I) (I,H) (I,J) (J,I) (E,F) (F,E);

param CapCost :=
A B 112
A C 123
B C 116
B D 128
B E 130
C D 112
D E 110
B A 112
C A 123
C B 116
D B 128
E B 130
D C 112
E D 110
E F 110
F E 110
F G 112
F H 128
G H 116
G I 123
G J 130
H I 112
I J 110
G F 112
H F 128
H G 116
I G 123
J G 130
I H 112
J I 110
;

param b0Cost :=
A B 1120
A C 1230
B C 1160
B D 1280
B E 1300
C D 1120
D E 1100
B A 1120
C A 1230
C B 1160
D B 1280
E B 1300
D C 1120
E D 1100
E F 1100
F E 1100
F G 1120
F H 1280
G H 1160
G I 1230
G J 1300
H I 1120
I J 1100
G F 1120
H F 1280
H G 1160
I G 1230
J G 1300
I H 1120
J I 1100
;

param FCost:
A     B     C     D     E     F     G     H     I     J   :=
A 0.00 560.00 615.00 2010.00 725.00 780.00 835.00 2670.00 945.00 2850.00
B 560.00 0.00 1740.00 1920.00 1300.00 1420.00 1540.00 830.00 890.00 2700.00
C 615.00 1740.00 0.00 560.00 1250.00 690.00 2115.00 770.00 835.00 1700.00
D 2010.00 1920.00 560.00 0.00 1100.00 1240.00 690.00 710.00 1560.00 2400.00
E 725.00 1300.00 1250.00 1100.00 0.00 550.00 1875.00 650.00 2175.00 750.00
F 780.00 1420.00 690.00 1240.00 550.00 0.00 1120.00 1280.00 2010.00 1400.00
G 835.00 1540.00 2115.00 690.00 1875.00 1120.00 0.00 1740.00 1845.00 1300.00
H 2670.00 830.00 770.00 710.00 650.00 1280.00 1740.00 0.00 1120.00 1200.00
I 945.00 890.00 835.00 1560.00 2175.00 2010.00 1845.00 1120.00 0.00 550.00
J 2850.00 2700.00 1700.00 2400.00 750.00 1400.00 1300.00 1200.00 550.00 0.00
;

param Demand:
A     B     C     D     E     F     G     H     I     J   :=
A  0   2.54 2.55 2.33 2.06 2.22 1.81 2.40 2.16 2.37
B 2.54  0   2.00 1.79 2.45 2.53 2.43 2.28 2.43 2.34
C 2.55 2.00  0   2.63 2.14 2.13 2.48 2.63 1.95 2.47
D 2.33 1.79 2.63  0   2.07 2.57 1.97 2.73 2.52 2.32
E 2.06 2.45 2.14 2.07  0   2.22 2.61 2.45 2.16 2.90
F 2.22 2.53 2.13 2.57 2.22  0   2.03 2.32 2.02 2.23
G 1.81 2.43 2.48 1.97 2.61 2.03  0   2.65 2.39 2.19
H 2.40 2.28 2.63 2.73 2.45 2.32 2.65  0   2.85 2.57
I 2.16 2.43 1.95 2.52 2.16 2.02 2.39 2.85  0   2.91
J 2.37 2.34 2.47 2.32 2.90 2.23 2.19 2.57 2.91  0
;

param M := 186.02 ;
