set Nodes := A B C D E F G H I J;

set Arcs := (A,B) (B,A) (A,C) (C,A) (B,C) (C,B) (B,D) (D,B) (B,E) (E,B) (C,D) (D,C) (D,E) (E,D) (F,G) (G,F) (F,H) (H,F) (G,H) (H,G) (G,I) (I,G) (G,J) (J,G) (H,I) (I,H) (I,J) (J,I) (E,F) (F,E);

param CapCost :=
A B 112
A C 123
B C 116
B D 128
B E 130
C D 112
D E 110
B A 112
C A 123
C B 116
D B 128
E B 130
D C 112
E D 110
E F 110
F E 110
F G 112
F H 128
G H 116
G I 123
G J 130
H I 112
I J 110
G F 112
H F 128
H G 116
I G 123
J G 130
I H 112
J I 110
;

param b0Cost :=
A B 1120
A C 1230
B C 1160
B D 1280
B E 1300
C D 1120
D E 1100
B A 1120
C A 1230
C B 1160
D B 1280
E B 1300
D C 1120
E D 1100
E F 1100
F E 1100
F G 1120
F H 1280
G H 1160
G I 1230
G J 1300
H I 1120
I J 1100
G F 1120
H F 1280
H G 1160
I G 1230
J G 1300
I H 1120
J I 1100
;

param FCost:
A     B     C     D     E     F     G     H     I     J   :=
A 0.00 1680.00 1845.00 670.00 2175.00 780.00 835.00 2670.00 945.00 1900.00
B 1680.00 0.00 1740.00 640.00 650.00 2130.00 2310.00 830.00 890.00 1800.00
C 1845.00 1740.00 0.00 1120.00 1875.00 1380.00 2115.00 770.00 2505.00 1700.00
D 670.00 640.00 1120.00 0.00 1650.00 1240.00 2070.00 2130.00 2340.00 800.00
E 2175.00 650.00 1875.00 1650.00 0.00 550.00 625.00 1950.00 725.00 1500.00
F 780.00 2130.00 1380.00 1240.00 550.00 0.00 560.00 1280.00 2010.00 700.00
G 835.00 2310.00 2115.00 2070.00 625.00 560.00 0.00 580.00 1230.00 650.00
H 2670.00 830.00 770.00 2130.00 1950.00 1280.00 580.00 0.00 1120.00 1200.00
I 945.00 890.00 2505.00 2340.00 725.00 2010.00 1230.00 1120.00 0.00 1650.00
J 1900.00 1800.00 1700.00 800.00 1500.00 700.00 650.00 1200.00 1650.00 0.00
;

param Demand:
A     B     C     D     E     F     G     H     I     J   :=
A  0   3.37 3.42 2.67 3.52 3.03 3.55 3.28 3.19 3.07
B 3.37  0   3.00 3.81 3.37 3.34 3.41 2.90 2.88 3.09
C 3.42 3.00  0   3.34 3.23 3.55 3.11 2.81 2.97 3.15
D 2.67 3.81 3.34  0   3.66 2.78 2.97 3.34 3.48 3.33
E 3.52 3.37 3.23 3.66  0   3.25 3.22 3.90 3.01 3.05
F 3.03 3.34 3.55 2.78 3.25  0   3.19 3.32 2.95 3.46
G 3.55 3.41 3.11 2.97 3.22 3.19  0   3.36 3.28 3.30
H 3.28 2.90 2.81 3.34 3.90 3.32 3.36  0   2.98 3.16
I 3.19 2.88 2.97 3.48 3.01 2.95 3.28 2.98  0   3.37
J 3.07 3.09 3.15 3.33 3.05 3.46 3.30 3.16 3.37  0
;

param M := 176.85 ;
