set Nodes := A B C D E F G H I J;

set Arcs := (A,B) (B,A) (A,C) (C,A) (B,C) (C,B) (B,D) (D,B) (B,E) (E,B) (C,D) (D,C) (D,E) (E,D) (F,G) (G,F) (F,H) (H,F) (G,H) (H,G) (G,I) (I,G) (G,J) (J,G) (H,I) (I,H) (I,J) (J,I) (E,F) (F,E);

param CapCost :=
A B 112
A C 123
B C 116
B D 128
B E 130
C D 112
D E 110
B A 112
C A 123
C B 116
D B 128
E B 130
D C 112
E D 110
E F 110
F E 110
F G 112
F H 128
G H 116
G I 123
G J 130
H I 112
I J 110
G F 112
H F 128
H G 116
I G 123
J G 130
I H 112
J I 110
;

param b0Cost :=
A B 1120
A C 1230
B C 1160
B D 1280
B E 1300
C D 1120
D E 1100
B A 1120
C A 1230
C B 1160
D B 1280
E B 1300
D C 1120
E D 1100
E F 1100
F E 1100
F G 1120
F H 1280
G H 1160
G I 1230
G J 1300
H I 1120
I J 1100
G F 1120
H F 1280
H G 1160
I G 1230
J G 1300
I H 1120
J I 1100
;

param FCost:
A     B     C     D     E     F     G     H     I     J   :=
A 0.00 1120.00 615.00 670.00 725.00 2340.00 2505.00 1780.00 945.00 950.00
B 1120.00 0.00 1160.00 640.00 1950.00 2130.00 1540.00 1660.00 890.00 1800.00
C 615.00 1160.00 0.00 1680.00 1250.00 690.00 705.00 770.00 1670.00 1700.00
D 670.00 640.00 1680.00 0.00 1650.00 1240.00 1380.00 710.00 2340.00 1600.00
E 725.00 1950.00 1250.00 1650.00 0.00 1100.00 625.00 650.00 1450.00 750.00
F 2340.00 2130.00 690.00 1240.00 1100.00 0.00 1680.00 1920.00 1340.00 1400.00
G 2505.00 1540.00 705.00 1380.00 625.00 1680.00 0.00 1160.00 615.00 1950.00
H 1780.00 1660.00 770.00 710.00 650.00 1920.00 1160.00 0.00 1680.00 1800.00
I 945.00 890.00 1670.00 2340.00 1450.00 1340.00 615.00 1680.00 0.00 1100.00
J 950.00 1800.00 1700.00 1600.00 750.00 1400.00 1950.00 1800.00 1100.00 0.00
;

param Demand:
A     B     C     D     E     F     G     H     I     J   :=
A  0   3.41 3.45 3.54 3.59 3.38 3.48 3.71 3.32 3.75
B 3.41  0   3.32 3.42 3.22 3.82 3.80 3.58 3.55 3.57
C 3.45 3.32  0   3.52 3.74 4.00 3.63 3.91 3.87 4.06
D 3.54 3.42 3.52  0   3.56 3.62 3.56 3.26 3.87 3.93
E 3.59 3.22 3.74 3.56  0   3.79 3.69 3.26 3.45 4.02
F 3.38 3.82 4.00 3.62 3.79  0   3.67 3.63 3.84 3.75
G 3.48 3.80 3.63 3.56 3.69 3.67  0   3.02 3.74 3.58
H 3.71 3.58 3.91 3.26 3.26 3.63 3.02  0   3.49 3.53
I 3.32 3.55 3.87 3.87 3.45 3.84 3.74 3.49  0   3.76
J 3.75 3.57 4.06 3.93 4.02 3.75 3.58 3.53 3.76  0
;

param M := 176.85 ;
