set Nodes := A B C D E F G H I J;

set Arcs := (A,B) (B,A) (A,C) (C,A) (B,C) (C,B) (B,D) (D,B) (B,E) (E,B) (C,D) (D,C) (D,E) (E,D) (F,G) (G,F) (F,H) (H,F) (G,H) (H,G) (G,I) (I,G) (G,J) (J,G) (H,I) (I,H) (I,J) (J,I) (E,F) (F,E);

param CapCost :=
A B 112
A C 123
B C 116
B D 128
B E 130
C D 112
D E 110
B A 112
C A 123
C B 116
D B 128
E B 130
D C 112
E D 110
E F 110
F E 110
F G 112
F H 128
G H 116
G I 123
G J 130
H I 112
I J 110
G F 112
H F 128
H G 116
I G 123
J G 130
I H 112
J I 110
;

param b0Cost :=
A B 1120
A C 1230
B C 1160
B D 1280
B E 1300
C D 1120
D E 1100
B A 1120
C A 1230
C B 1160
D B 1280
E B 1300
D C 1120
E D 1100
E F 1100
F E 1100
F G 1120
F H 1280
G H 1160
G I 1230
G J 1300
H I 1120
I J 1100
G F 1120
H F 1280
H G 1160
I G 1230
J G 1300
I H 1120
J I 1100
;

param FCost:
A     B     C     D     E     F     G     H     I     J   :=
A 0.00 560.00 615.00 1340.00 725.00 2340.00 2505.00 1780.00 945.00 1900.00
B 560.00 0.00 1740.00 1280.00 1300.00 1420.00 770.00 1660.00 890.00 1800.00
C 615.00 1740.00 0.00 560.00 625.00 2070.00 705.00 2310.00 2505.00 850.00
D 1340.00 1280.00 560.00 0.00 1650.00 620.00 2070.00 1420.00 1560.00 2400.00
E 725.00 1300.00 625.00 1650.00 0.00 1100.00 625.00 1300.00 1450.00 750.00
F 2340.00 1420.00 2070.00 620.00 1100.00 0.00 560.00 640.00 1340.00 700.00
G 2505.00 770.00 705.00 2070.00 625.00 560.00 0.00 1160.00 1230.00 650.00
H 1780.00 1660.00 2310.00 1420.00 1300.00 640.00 1160.00 0.00 1680.00 1800.00
I 945.00 890.00 2505.00 1560.00 1450.00 1340.00 1230.00 1680.00 0.00 550.00
J 1900.00 1800.00 850.00 2400.00 750.00 700.00 650.00 1800.00 550.00 0.00
;

param Demand:
A     B     C     D     E     F     G     H     I     J   :=
A  0   2.70 2.46 2.30 2.67 2.77 2.74 2.38 2.18 2.77
B 2.70  0   2.78 2.45 2.30 2.13 2.70 2.61 2.69 2.72
C 2.46 2.78  0   2.58 2.74 2.44 2.53 2.57 2.51 2.24
D 2.30 2.45 2.58  0   2.76 2.26 2.69 2.38 2.60 2.59
E 2.67 2.30 2.74 2.76  0   2.39 2.66 2.45 2.60 2.84
F 2.77 2.13 2.44 2.26 2.39  0   2.34 2.51 2.63 2.32
G 2.74 2.70 2.53 2.69 2.66 2.34  0   2.39 2.56 2.37
H 2.38 2.61 2.57 2.38 2.45 2.51 2.39  0   2.16 2.76
I 2.18 2.69 2.51 2.60 2.60 2.63 2.56 2.16  0   2.01
J 2.77 2.72 2.24 2.59 2.84 2.32 2.37 2.76 2.01  0
;

param M := 176.85 ;
