param NumSizes := 10 ;

param Capacity := 200000 ;

param DemandsFirstStage := 1 2500 2 7500 3 12500 4 10000 5 35000 6 25000 7 15000 8 12500 9 12500 10 5000 ;

param DemandsSecondStage := 1 3500 2 10500 3 17500 4 14000 5 49000 6 35000 7 21000 8 17500 9 17500 10 7000 ;

param UnitProductionCosts := 1 0.748 2 0.7584 3 0.7688 4 0.7792 5 0.7896 6 0.8 7 0.8104 8 0.8208 9 0.8312 10 0.8416 ;

param SetupCosts := 1 453 2 453 3 453 4 453 5 453 6 453 7 453 8 453 9 453 10 453;

param UnitReductionCost := 0.008 ;
                                   
                                   
