param FCost:
   A     B     C     D     E     F     G     H     I     J   :=
 A 0.00 1120.00 1230.00 670.00 1450.00 1560.00 835.00 1780.00 1890.00 1900.00 
 B 1120.00 0.00 1160.00 1920.00 650.00 710.00 770.00 2490.00 2670.00 1800.00 
 C 1230.00 1160.00 0.00 560.00 1875.00 690.00 2115.00 2310.00 835.00 2550.00 
 D 670.00 1920.00 560.00 0.00 1100.00 1240.00 1380.00 710.00 1560.00 1600.00 
 E 1450.00 650.00 1875.00 1100.00 0.00 1650.00 625.00 1300.00 725.00 750.00 
 F 1560.00 710.00 690.00 1240.00 1650.00 0.00 1120.00 1280.00 670.00 700.00 
 G 835.00 770.00 2115.00 1380.00 625.00 1120.00 0.00 1740.00 615.00 1950.00 
 H 1780.00 2490.00 2310.00 710.00 1300.00 1280.00 1740.00 0.00 1680.00 1800.00 
 I 1890.00 2670.00 835.00 1560.00 725.00 670.00 615.00 1680.00 0.00 1650.00 
 J 1900.00 1800.00 2550.00 1600.00 750.00 700.00 1950.00 1800.00 1650.00 0.00 ;

param Demand:
   A     B     C     D     E     F     G     H     I     J   :=
 A  0   2.66 3.06 2.77 3.06 3.17 3.61 3.69 3.41 3.12 
 B 2.66  0   2.86 3.34 3.23 3.34 2.85 3.06 3.16 3.06 
 C 3.06 2.86  0   3.18 3.46 3.28 2.95 3.18 3.40 3.04 
 D 2.77 3.34 3.18  0   2.86 3.15 3.61 2.88 3.44 2.86 
 E 3.06 3.23 3.46 2.86  0   3.11 3.02 3.50 3.67 3.30 
 F 3.17 3.34 3.28 3.15 3.11  0   3.25 3.13 2.73 3.38 
 G 3.61 2.85 2.95 3.61 3.02 3.25  0   3.11 3.32 3.67 
 H 3.69 3.06 3.18 2.88 3.50 3.13 3.11  0   2.68 3.25 
 I 3.41 3.16 3.40 3.44 3.67 2.73 3.32 2.68  0   2.94 
 J 3.12 3.06 3.04 2.86 3.30 3.38 3.67 3.25 2.94  0    ;
