set Nodes := A B C D E F G H I J;

set Arcs := (A,B) (B,A) (A,C) (C,A) (B,C) (C,B) (B,D) (D,B) (B,E) (E,B) (C,D) (D,C) (D,E) (E,D) (F,G) (G,F) (F,H) (H,F) (G,H) (H,G) (G,I) (I,G) (G,J) (J,G) (H,I) (I,H) (I,J) (J,I) (E,F) (F,E);

param CapCost :=
A B 112
A C 123
B C 116
B D 128
B E 130
C D 112
D E 110
B A 112
C A 123
C B 116
D B 128
E B 130
D C 112
E D 110
E F 110
F E 110
F G 112
F H 128
G H 116
G I 123
G J 130
H I 112
I J 110
G F 112
H F 128
H G 116
I G 123
J G 130
I H 112
J I 110
;

param b0Cost := 
A B 1120
A C 1230
B C 1160
B D 1280
B E 1300
C D 1120
D E 1100
B A 1120
C A 1230
C B 1160
D B 1280
E B 1300
D C 1120
E D 1100
E F 1100
F E 1100
F G 1120
F H 1280
G H 1160
G I 1230
G J 1300
H I 1120
I J 1100
G F 1120
H F 1280
H G 1160
I G 1230
J G 1300
I H 1120
J I 1100
;

param FCost:
   A     B     C     D     E     F     G     H     I     J   :=
 A 0.00 1120.00 1230.00 670.00 1450.00 1560.00 835.00 1780.00 1890.00 1900.00 
 B 1120.00 0.00 1160.00 1920.00 650.00 710.00 770.00 2490.00 2670.00 1800.00 
 C 1230.00 1160.00 0.00 560.00 1875.00 690.00 2115.00 2310.00 835.00 2550.00 
 D 670.00 1920.00 560.00 0.00 1100.00 1240.00 1380.00 710.00 1560.00 1600.00 
 E 1450.00 650.00 1875.00 1100.00 0.00 1650.00 625.00 1300.00 725.00 750.00 
 F 1560.00 710.00 690.00 1240.00 1650.00 0.00 1120.00 1280.00 670.00 700.00 
 G 835.00 770.00 2115.00 1380.00 625.00 1120.00 0.00 1740.00 615.00 1950.00 
 H 1780.00 2490.00 2310.00 710.00 1300.00 1280.00 1740.00 0.00 1680.00 1800.00 
 I 1890.00 2670.00 835.00 1560.00 725.00 670.00 615.00 1680.00 0.00 1650.00 
 J 1900.00 1800.00 2550.00 1600.00 750.00 700.00 1950.00 1800.00 1650.00 0.00 ;

param Demand:
   A     B     C     D     E     F     G     H     I     J   :=
 A  0   2.66 3.06 2.77 3.06 3.17 3.61 3.69 3.41 3.12 
 B 2.66  0   2.86 3.34 3.23 3.34 2.85 3.06 3.16 3.06 
 C 3.06 2.86  0   3.18 3.46 3.28 2.95 3.18 3.40 3.04 
 D 2.77 3.34 3.18  0   2.86 3.15 3.61 2.88 3.44 2.86 
 E 3.06 3.23 3.46 2.86  0   3.11 3.02 3.50 3.67 3.30 
 F 3.17 3.34 3.28 3.15 3.11  0   3.25 3.13 2.73 3.38 
 G 3.61 2.85 2.95 3.61 3.02 3.25  0   3.11 3.32 3.67 
 H 3.69 3.06 3.18 2.88 3.50 3.13 3.11  0   2.68 3.25 
 I 3.41 3.16 3.40 3.44 3.67 2.73 3.32 2.68  0   2.94 
 J 3.12 3.06 3.04 2.86 3.30 3.38 3.67 3.25 2.94  0    ;

param M := 174.88 ;
