param FCost:
   A     B     C     D     E     F     G     H     I     J   :=
 A 0.00 1680.00 1230.00 670.00 1450.00 2340.00 2505.00 2670.00 2835.00 2850.00 
 B 1680.00 0.00 1740.00 640.00 1950.00 2130.00 770.00 1660.00 890.00 2700.00 
 C 1230.00 1740.00 0.00 560.00 1875.00 2070.00 2115.00 770.00 2505.00 1700.00 
 D 670.00 640.00 560.00 0.00 550.00 620.00 1380.00 1420.00 1560.00 1600.00 
 E 1450.00 1950.00 1875.00 550.00 0.00 550.00 625.00 1950.00 2175.00 1500.00 
 F 2340.00 2130.00 2070.00 620.00 550.00 0.00 1120.00 1280.00 1340.00 1400.00 
 G 2505.00 770.00 2115.00 1380.00 625.00 1120.00 0.00 1740.00 615.00 1950.00 
 H 2670.00 1660.00 770.00 1420.00 1950.00 1280.00 1740.00 0.00 560.00 600.00 
 I 2835.00 890.00 2505.00 1560.00 2175.00 1340.00 615.00 560.00 0.00 1650.00 
 J 2850.00 2700.00 1700.00 1600.00 1500.00 1400.00 1950.00 600.00 1650.00 0.00 ;

param Demand:
   A     B     C     D     E     F     G     H     I     J   :=
 A  0   3.67 3.22 3.63 3.46 3.65 3.80 3.73 3.59 3.26 
 B 3.67  0   3.50 3.61 3.93 3.71 3.70 3.56 3.86 3.58 
 C 3.22 3.50  0   3.65 3.49 3.50 3.55 3.22 3.49 3.70 
 D 3.63 3.61 3.65  0   3.57 4.12 3.39 3.83 3.32 3.57 
 E 3.46 3.93 3.49 3.57  0   3.51 3.85 3.43 3.90 3.53 
 F 3.65 3.71 3.50 4.12 3.51  0   3.76 3.46 3.74 3.95 
 G 3.80 3.70 3.55 3.39 3.85 3.76  0   3.98 3.60 3.91 
 H 3.73 3.56 3.22 3.83 3.43 3.46 3.98  0   3.53 3.20 
 I 3.59 3.86 3.49 3.32 3.90 3.74 3.60 3.53  0   3.99 
 J 3.26 3.58 3.70 3.57 3.53 3.95 3.91 3.20 3.99  0   ;
