param FCost:
   A     B     C     D     E     F     G     H     I     J   :=
 A 0.00 560.00 615.00 1340.00 2175.00 780.00 1670.00 1780.00 1890.00 950.00 
 B 560.00 0.00 1740.00 640.00 650.00 2130.00 1540.00 830.00 1780.00 2700.00 
 C 615.00 1740.00 0.00 1680.00 625.00 690.00 1410.00 1540.00 835.00 1700.00 
 D 1340.00 640.00 1680.00 0.00 1100.00 620.00 690.00 1420.00 1560.00 1600.00 
 E 2175.00 650.00 625.00 1100.00 0.00 1650.00 1875.00 1950.00 2175.00 1500.00 
 F 780.00 2130.00 690.00 620.00 1650.00 0.00 560.00 1280.00 1340.00 1400.00 
 G 1670.00 1540.00 1410.00 690.00 1875.00 560.00 0.00 1160.00 1230.00 650.00 
 H 1780.00 830.00 1540.00 1420.00 1950.00 1280.00 1160.00 0.00 1120.00 1800.00 
 I 1890.00 1780.00 835.00 1560.00 2175.00 1340.00 1230.00 1120.00 0.00 550.00 
 J 950.00 2700.00 1700.00 1600.00 1500.00 1400.00 650.00 1800.00 550.00 0.00 ;

param Demand:
   A     B     C     D     E     F     G     H     I     J   :=
 A  0   3.44 3.42 3.55 3.18 3.71 3.79 3.88 3.76 3.38 
 B 3.44  0   3.57 3.60 3.34 3.40 3.61 3.06 3.28 3.29 
 C 3.42 3.57  0   3.22 3.36 3.63 3.47 3.73 3.06 3.33 
 D 3.55 3.60 3.22  0   3.34 3.15 3.81 3.67 3.29 3.34 
 E 3.18 3.34 3.36 3.34  0   3.59 3.35 3.30 3.19 3.28 
 F 3.71 3.40 3.63 3.15 3.59  0   3.53 3.33 3.91 3.66 
 G 3.79 3.61 3.47 3.81 3.35 3.53  0   3.73 3.35 3.66 
 H 3.88 3.06 3.73 3.67 3.30 3.33 3.73  0   3.48 3.31 
 I 3.76 3.28 3.06 3.29 3.19 3.91 3.35 3.48  0   3.52 
 J 3.38 3.29 3.33 3.34 3.28 3.66 3.66 3.31 3.52  0   ;
