param FCost:
   A     B     C     D     E     F     G     H     I     J   :=
 A 0.00 560.00 1845.00 670.00 2175.00 1560.00 1670.00 2670.00 1890.00 2850.00 
 B 560.00 0.00 1160.00 1920.00 1950.00 710.00 1540.00 2490.00 2670.00 900.00 
 C 1845.00 1160.00 0.00 1680.00 1875.00 1380.00 705.00 2310.00 1670.00 1700.00 
 D 670.00 1920.00 1680.00 0.00 1100.00 1860.00 2070.00 2130.00 2340.00 1600.00 
 E 2175.00 1950.00 1875.00 1100.00 0.00 550.00 1875.00 650.00 1450.00 750.00 
 F 1560.00 710.00 1380.00 1860.00 550.00 0.00 1680.00 640.00 670.00 2100.00 
 G 1670.00 1540.00 705.00 2070.00 1875.00 1680.00 0.00 1160.00 1845.00 650.00 
 H 2670.00 2490.00 2310.00 2130.00 650.00 640.00 1160.00 0.00 1680.00 1800.00 
 I 1890.00 2670.00 1670.00 2340.00 1450.00 670.00 1845.00 1680.00 0.00 1650.00 
 J 2850.00 900.00 1700.00 1600.00 750.00 2100.00 650.00 1800.00 1650.00 0.00 ;

param Demand:
   A     B     C     D     E     F     G     H     I     J   :=
 A  0   3.12 3.34 3.12 3.15 3.47 3.03 3.33 3.15 3.20 
 B 3.12  0   3.42 3.59 3.21 3.16 3.43 3.40 3.57 3.71 
 C 3.34 3.42  0   3.35 3.50 3.06 3.27 3.38 3.17 3.45 
 D 3.12 3.59 3.35  0   2.94 2.80 3.12 3.08 3.67 3.05 
 E 3.15 3.21 3.50 2.94  0   3.24 3.32 3.14 3.08 3.52 
 F 3.47 3.16 3.06 2.80 3.24  0   3.03 3.24 3.36 3.23 
 G 3.03 3.43 3.27 3.12 3.32 3.03  0   3.17 3.38 3.52 
 H 3.33 3.40 3.38 3.08 3.14 3.24 3.17  0   3.07 3.15 
 I 3.15 3.57 3.17 3.67 3.08 3.36 3.38 3.07  0   2.75 
 J 3.20 3.71 3.45 3.05 3.52 3.23 3.52 3.15 2.75  0   ;
