param FCost:
   A     B     C     D     E     F     G     H     I     J   :=
 A 0.00 1120.00 1230.00 670.00 1450.00 2340.00 2505.00 890.00 1890.00 950.00 
 B 1120.00 0.00 1160.00 1920.00 1950.00 1420.00 770.00 1660.00 890.00 1800.00 
 C 1230.00 1160.00 0.00 1120.00 1875.00 690.00 1410.00 770.00 1670.00 2550.00 
 D 670.00 1920.00 1120.00 0.00 550.00 620.00 690.00 2130.00 780.00 800.00 
 E 1450.00 1950.00 1875.00 550.00 0.00 1100.00 1875.00 1950.00 725.00 1500.00 
 F 2340.00 1420.00 690.00 620.00 1100.00 0.00 560.00 1920.00 2010.00 700.00 
 G 2505.00 770.00 1410.00 690.00 1875.00 560.00 0.00 1160.00 1230.00 1950.00 
 H 890.00 1660.00 770.00 2130.00 1950.00 1920.00 1160.00 0.00 560.00 1800.00 
 I 1890.00 890.00 1670.00 780.00 725.00 2010.00 1230.00 560.00 0.00 1650.00 
 J 950.00 1800.00 2550.00 800.00 1500.00 700.00 1950.00 1800.00 1650.00 0.00 ;

param Demand:
   A     B     C     D     E     F     G     H     I     J   :=
 A  0   2.81 2.39 2.60 2.88 2.85 2.95 2.76 2.77 2.66 
 B 2.81  0   2.52 2.77 2.76 2.34 2.83 2.85 2.43 2.44 
 C 2.39 2.52  0   2.69 2.62 3.00 2.59 2.81 2.39 2.91 
 D 2.60 2.77 2.69  0   2.30 2.93 2.34 2.81 2.34 2.83 
 E 2.88 2.76 2.62 2.30  0   2.73 2.71 2.84 2.52 2.34 
 F 2.85 2.34 3.00 2.93 2.73  0   2.93 2.37 2.62 2.84 
 G 2.95 2.83 2.59 2.34 2.71 2.93  0   2.97 2.82 2.64 
 H 2.76 2.85 2.81 2.81 2.84 2.37 2.97  0   2.79 2.29 
 I 2.77 2.43 2.39 2.34 2.52 2.62 2.82 2.79  0   3.12 
 J 2.66 2.44 2.91 2.83 2.34 2.84 2.64 2.29 3.12  0   ;
