param FCost:
   A     B     C     D     E     F     G     H     I     J   :=
 A 0.00 560.00 615.00 2010.00 2175.00 2340.00 835.00 2670.00 1890.00 2850.00 
 B 560.00 0.00 1740.00 640.00 650.00 1420.00 2310.00 830.00 890.00 900.00 
 C 615.00 1740.00 0.00 560.00 1875.00 1380.00 2115.00 770.00 835.00 2550.00 
 D 2010.00 640.00 560.00 0.00 1100.00 620.00 690.00 2130.00 780.00 2400.00 
 E 2175.00 650.00 1875.00 1100.00 0.00 1100.00 625.00 650.00 1450.00 1500.00 
 F 2340.00 1420.00 1380.00 620.00 1100.00 0.00 1680.00 1920.00 1340.00 700.00 
 G 835.00 2310.00 2115.00 690.00 625.00 1680.00 0.00 1160.00 615.00 1300.00 
 H 2670.00 830.00 770.00 2130.00 650.00 1920.00 1160.00 0.00 1120.00 600.00 
 I 1890.00 890.00 835.00 780.00 1450.00 1340.00 615.00 1120.00 0.00 1650.00 
 J 2850.00 900.00 2550.00 2400.00 1500.00 700.00 1300.00 600.00 1650.00 0.00 ;

param Demand:
   A     B     C     D     E     F     G     H     I     J   :=
 A  0   3.61 3.36 3.68 3.32 2.85 3.30 3.51 3.25 3.36 
 B 3.61  0   3.79 3.43 3.39 3.42 2.94 3.40 2.74 3.28 
 C 3.36 3.79  0   3.26 2.72 2.91 3.11 2.98 3.10 3.38 
 D 3.68 3.43 3.26  0   2.81 2.99 2.83 3.33 3.55 3.14 
 E 3.32 3.39 2.72 2.81  0   3.28 2.96 2.88 3.55 3.02 
 F 2.85 3.42 2.91 2.99 3.28  0   3.48 2.98 3.56 3.02 
 G 3.30 2.94 3.11 2.83 2.96 3.48  0   3.33 3.38 3.24 
 H 3.51 3.40 2.98 3.33 2.88 2.98 3.33  0   3.27 3.24 
 I 3.25 2.74 3.10 3.55 3.55 3.56 3.38 3.27  0   2.78 
 J 3.36 3.28 3.38 3.14 3.02 3.02 3.24 3.24 2.78  0   ;
