param FCost:
   A     B     C     D     E     F     G     H     I     J   :=
 A 0.00 560.00 1230.00 1340.00 2175.00 2340.00 2505.00 890.00 2835.00 1900.00 
 B 560.00 0.00 1160.00 640.00 1950.00 710.00 1540.00 830.00 890.00 1800.00 
 C 1230.00 1160.00 0.00 1120.00 1250.00 690.00 705.00 1540.00 835.00 1700.00 
 D 1340.00 640.00 1120.00 0.00 550.00 1860.00 1380.00 710.00 1560.00 800.00 
 E 2175.00 1950.00 1250.00 550.00 0.00 1650.00 1875.00 650.00 1450.00 750.00 
 F 2340.00 710.00 690.00 1860.00 1650.00 0.00 1680.00 640.00 1340.00 2100.00 
 G 2505.00 1540.00 705.00 1380.00 1875.00 1680.00 0.00 1160.00 1230.00 650.00 
 H 890.00 830.00 1540.00 710.00 650.00 640.00 1160.00 0.00 1120.00 1800.00 
 I 2835.00 890.00 835.00 1560.00 1450.00 1340.00 1230.00 1120.00 0.00 550.00 
 J 1900.00 1800.00 1700.00 800.00 750.00 2100.00 650.00 1800.00 550.00 0.00 ;

param Demand:
   A     B     C     D     E     F     G     H     I     J   :=
 A  0   3.41 3.24 3.22 2.80 3.06 3.32 3.00 3.53 3.35 
 B 3.41  0   3.15 3.50 2.98 3.19 3.14 3.12 3.49 3.20 
 C 3.24 3.15  0   3.01 3.13 3.24 3.08 3.59 3.05 3.19 
 D 3.22 3.50 3.01  0   3.35 2.97 3.18 3.17 2.90 3.12 
 E 2.80 2.98 3.13 3.35  0   3.17 3.12 3.27 3.14 3.16 
 F 3.06 3.19 3.24 2.97 3.17  0   3.01 3.21 2.87 3.25 
 G 3.32 3.14 3.08 3.18 3.12 3.01  0   3.02 2.95 3.18 
 H 3.00 3.12 3.59 3.17 3.27 3.21 3.02  0   3.37 3.02 
 I 3.53 3.49 3.05 2.90 3.14 2.87 2.95 3.37  0   3.10 
 J 3.35 3.20 3.19 3.12 3.16 3.25 3.18 3.02 3.10  0   ;
